book_id,title,author,genre,description
1,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young boy discovers he is a wizard and attends a magical school called Hogwarts.
2,The Hobbit,J.R.R. Tolkien,Fantasy,A hobbit embarks on a journey to recover treasure guarded by a dragon.
3,To Kill a Mockingbird,Harper Lee,Fiction,A young girl grows up in the South during the Great Depression and learns about racial injustice.
4,1984,George Orwell,Dystopian,A totalitarian government watches every citizen's move and manipulates the truth.
5,The Catcher in the Rye,J.D. Salinger,Fiction,A troubled teenager recounts his life experiences in a cynical and detached way.
6,The Great Gatsby,F. Scott Fitzgerald,Classic,A young man becomes infatuated with the mysterious millionaire Gatsby and his ill-fated love story.
7,The Lord of the Rings,J.R.R. Tolkien,Fantasy,A group of individuals must destroy a powerful ring to save Middle-earth from an evil lord.
8,The Da Vinci Code,Dan Brown,Mystery,An art historian and a cryptologist solve a series of puzzles leading to a centuries-old secret.
9,Pride and Prejudice,Jane Austen,Romance,"A spirited young woman navigates issues of love, marriage, and society in Regency-era England."
10,The Hunger Games,Suzanne Collins,Dystopian,"In a post-apocalyptic society, young people are forced to participate in a deadly televised competition."
